	
5	5.000
1515	4.000
2190	3.000
58262	3.000
58264	3.000
58266	3.000
58270	3.000
58271	3.000
58282	3.000
58301	3.000
58304	4.000
64507	3.000
64521	3.000
64523	4.000
64527	4.000
64583	3.000
2006107	1.000
2006657	
2180444	1.000
2192199	1.000
2192217	2.000
2200604	3.000
2459014	1.000
2625735	1.000
2626417	1.000
2669786	1.000
2669787	1.000
2669788	1.000
2669789	1.000
2673794	
2724416	1.000
2760451	1.000
2896960	1.000
2957553	1.000
2975716	1.000
2975718	1.000
2975720	1.000
3008233	1.000
3008273	1.000
3088785	1.000
3120971	1.000
3121309	1.000
3121483	1.000
3121502	1.000
3121563	1.000
3121565	1.000
3121575	2.000
3121579	1.000
3121628	1.000
3121638	1.000
3124352	1.000
3131180	1.000
3131695	1.000
3131740	1.000
3144381	1.000
3151691	1.000
3165475	1.000
3288361	1.000
3382736	2.000
3382737	1.000
3427536	2.000
